Winner,Final Score Away,Final Score Home,Final Score Difference,Half Score Away,Half Score Home,Half Score Difference,Away FGA,Home FGA,Away FG,Home FG,Away 3PT,Home 3PT,Away EFG,Home EFG,Away Pos,Home Pos,Away TO,Home TO,Away TPP,Home TPP,Away OR,Home OR,Away DR,Home DR,Away ORP,Home ORP,Away DRP,Home DRP,Away DTPP,Home DTPP
Away,118,107,11,59,45,14,49,46,23,21,7,2,0.5408163265306123,0.4782608695652174,47,46,4,8,0.0851063829787234,0.1739130434782608,7,10,19,19,0.2692307692307692,0.4,0.76,0.7307692307692307,0.1702127659574468,0.0869565217391304
Home,110,121,-11,61,67,-6,45,47,20,26,5,6,0.5,0.6170212765957447,46,43,8,3,0.1739130434782608,0.0697674418604651,10,6,17,16,0.4,0.2857142857142857,0.8095238095238095,0.64,0.0652173913043478,0.1860465116279069
Home,102,128,-26,40,65,-25,50,48,15,23,5,8,0.35,0.5625,48,50,6,5,0.125,0.1,8,7,22,30,0.2285714285714285,0.28,0.88,0.8571428571428571,0.1041666666666666,0.12
Away,124,97,27,65,47,18,47,45,26,19,6,4,0.6170212765957447,0.4666666666666667,45,42,4,4,0.0888888888888888,0.0952380952380952,12,5,22,13,0.5714285714285714,0.1923076923076923,0.8461538461538461,0.6190476190476191,0.0888888888888888,0.0952380952380952
Home,103,128,-25,50,66,-16,48,44,20,25,7,11,0.4895833333333333,0.6931818181818182,43,45,5,7,0.1162790697674418,0.1555555555555555,8,8,13,20,0.2857142857142857,0.4210526315789473,0.6842105263157895,0.7142857142857143,0.1627906976744186,0.1111111111111111
Away,116,103,13,57,59,-2,37,50,23,26,6,6,0.7027027027027027,0.58,44,41,5,2,0.1136363636363636,0.048780487804878,2,9,18,16,0.1428571428571428,0.375,0.75,1.1428571428571428,0.0454545454545454,0.1219512195121951
Home,106,117,-11,57,54,3,44,45,21,24,8,4,0.5681818181818182,0.5777777777777777,47,45,8,9,0.1702127659574468,0.2,9,9,14,17,0.391304347826087,0.4285714285714285,0.6666666666666666,0.7391304347826086,0.1914893617021276,0.1777777777777777
Home,100,106,-6,51,51,0,45,47,21,20,6,11,0.5333333333333333,0.5425531914893617,46,45,2,6,0.0434782608695652,0.1333333333333333,2,7,20,24,0.0833333333333333,0.2592592592592592,0.7407407407407407,1.0,0.1304347826086956,0.0444444444444444
Home,106,115,-9,60,55,5,37,44,20,23,6,4,0.6216216216216216,0.5681818181818182,46,42,10,6,0.217391304347826,0.1428571428571428,7,7,19,14,0.4117647058823529,0.3333333333333333,0.9047619047619048,0.8235294117647058,0.1304347826086956,0.238095238095238
Away,104,99,5,54,59,-5,44,42,22,24,5,7,0.5568181818181818,0.6547619047619048,46,48,9,8,0.1956521739130435,0.1666666666666666,6,5,16,18,0.2727272727272727,0.2777777777777778,0.8888888888888888,0.8181818181818182,0.1739130434782608,0.1875
Away,130,121,9,73,55,18,44,39,28,19,8,9,0.7272727272727273,0.6025641025641025,48,48,7,13,0.1458333333333333,0.2708333333333333,5,5,16,14,0.3125,0.25,0.8,0.875,0.2708333333333333,0.1458333333333333
